"day_pos","date_time","date_time_exp","sent_num","text"
4,"2016-05-11 09:51:51","2016-05-11 09:45:00",-1,"Passionate discussion with important people. There are topics which cannot be discussed just once I think. Never ending story. #n #xfb"
5,"2016-05-11 10:31:56","2016-05-11 10:30:00",-1,"Sitting on the meeting with explosive topic and waiting when the fight start. So far we went through surprisingly smoothly. #n #xfb"
6,"2016-05-11 11:17:10","2016-05-11 11:15:00",1,"Going to be hottest with explosive topic. But meeting is almost over. I am really interested if there would be decision or not. #p #xfb"
7,"2016-05-11 12:08:49","2016-05-11 12:00:00",-1,"I will starve to death if the time would not run faster and lunch would not be here as soon as possible, yesterday was too late. #n #xfb"
8,"2016-05-11 12:52:40","2016-05-11 12:45:00",1,"Pizza with ham and pepper and strawberries as desert is my dream lunch. It's getting to be better and better. #p #xfb"
9,"2016-05-11 13:30:50","2016-05-11 13:30:00",1,"Siting on the terrace with ice cream and relaxing for a while before I return to the lion pit downstairs. I need to finish some work #p #xfb"
10,"2016-05-11 14:36:26","2016-05-11 14:15:00",-1,"Doing company expense report from last month. I don't like it but it has to be finished today since it's almost half of actual month #n #xfb"
11,"2016-05-11 15:14:21","2016-05-11 15:00:00",1,"Currently is much piece full time I can finally work on my tasks without so much disruption I hope I have at least one hour to do so #p #xfb"
12,"2016-05-11 15:46:35","2016-05-11 15:45:00",-1,"Finishing iExpense and discussing several things around. I am little bit nervous about how much we need to finish till end of Sprint #n #xfb"
13,"2016-05-11 17:04:02","2016-05-11 16:30:00",-1,"I need to say it's really difficult to keep on track with work in such difficult customer environment like here and do experiment. #n #xfb"
14,"2016-05-11 17:17:23","2016-05-11 17:15:00",1,"I thought that updating existing process would be easy but it cannot be more far from true. I am close to finish and go home. #p #xfb"
15,"2016-05-11 18:00:04","2016-05-11 18:00:00",1,"Few more things has to be finished. I need to adjust design picture about one small part and then publish it for everyone. #p #xfb"
16,"2016-05-11 18:40:03","2016-05-11 18:00:00",1,"Finally waiting for the train home. I even printed some birthday party invitations with Frozen theme. Let's see what girls will say. #p #xfb"
17,"2016-05-11 19:31:42","2016-05-11 19:30:00",1,"Having for dinner tasty goulash soup and relaxing through reading advertising flyers from many grocery stores. #p #xfb"
18,"2016-05-11 20:16:36","2016-05-11 20:15:00",1,"My wife is referring me about news and I am looking for some episodes for watching during today evening. #p #xfb"
19,"2016-05-11 21:30:08","2016-05-11 21:00:00",-1,"What to watch next. Maybe How to get away with murder? From typical series there is nothing new broadcasted yet. We need to wait. #n #xfb"
20,"2016-05-11 21:48:06","2016-05-11 21:45:00",1,"Wau subtitles for episode of blacklist are ready. Let's watch it and enjoy it. What a nice relaxing moment in the middle of the week #p #xfb"
21,"2016-05-11 22:39:03","2016-05-11 22:30:00",-1,"My wife has blocked neck and thus terrible headache and it seems that pain killers doesn't work for her. I hope it starts soon. #n #xfb"
22,"2016-05-11 23:15:41","2016-05-11 23:15:00",1,"Painkillers helped a bit she can go sleep. I hope it will be better. Meanwhile I am continuing with get data from @fitbit #p #xfb"
23,"2016-05-12 00:01:42","2016-05-11 23:59:59",1,"And it's last tweet today. My wife sleeps and I can continue to work. It's good except I am not successful yet, but it comes soon. #p #xfb"
1,"2016-05-12 07:34:46","2016-05-12 07:30:00",1,"Tough woke up. I would sleep one or two hours more, but it's not possible But extended weekend with free Monday is closer and closer #p #xfb"
2,"2016-05-12 08:14:51","2016-05-12 07:30:00",-1,"It's rainy day hallelujah it's rainy day hallelujah, sarcasm! Sort of raining. And train is about few minutes late. Nice combination #n #xfb"
3,"2016-05-12 09:06:44","2016-05-12 09:00:00",1,"It looks like today will be another hectic day as usual. Many things which I need to care about I hope I have time for my work. #p #xfb"
4,"2016-05-12 09:48:12","2016-05-12 09:45:00",1,"Finally working on my own tasks not solving someone's else problems. And listening really good Czech songs. Pleasure. #p #xfb"
5,"2016-05-12 10:39:37","2016-05-12 10:30:00",1,"Slowly fixing the issues and thinking about many things have to be done. And people around are asking me questions about their work. #p #xfb"
6,"2016-05-12 11:15:28","2016-05-12 11:15:00",1,"Many funny situations about which from all 8 environments is used for what and by whom. But release manager seems to be in picture. #p #xfb"
7,"2016-05-12 12:35:02","2016-05-12 12:00:00",1,"Busy with lunch and after explanation of situation about the team and project to still new member of the team. At least he knows #p #xfb"
8,"2016-05-12 12:46:07","2016-05-12 12:45:00",-1,"Things are not going anywhere. The solution is not difficult, but implementation is lions pit or walk through the hell. #n #xfb"
9,"2016-05-12 13:55:27","2016-05-12 13:30:00",1,"Many new information and messages made my day. Best is that someone else point them out so I am not the one who points the finger. #p #xfb"
10,"2016-05-12 14:15:56","2016-05-12 14:15:00",-1,"Progress is going forward. I have solved one problem but turned into another one so still is what to do to achieve final test. #n #xfb"
11,"2016-05-12 15:02:14","2016-05-12 15:00:00",-1,"Cannot fix the problem. Google doesn't help and I cannot get any idea how to solve it better on target side. I need to change source #n #xfb"
12,"2016-05-12 15:52:04","2016-05-12 15:45:00",-1,"Skipping the overall project status meeting and continue with work. Going to test several other options. I am not sure if this helps #n #xfb"
13,"2016-05-12 16:32:40","2016-05-12 16:30:00",1,"Slowly finishing the work and looking forward to leave to company office drop there expenses. Family pick me up at the there. #p #xfb"
14,"2016-05-12 17:20:00","2016-05-12 17:15:00",-1,"Ran to the tram which is leaving in 2 minutes. Currently my heart is running the race and I cannot catch the breath. #n #xfb"
15,"2016-05-12 18:18:22","2016-05-12 18:00:00",1,"Back at home. My wife look better today even though she has still blocked neck it's not that bad as yesterday I guess it's good sign #p #xfb"
16,"2016-05-12 18:59:47","2016-05-12 18:45:00",1,"Helping colleague with overnight load of 1300 tables with few TB of data. It's like before plain departure, we need to do checks #p #xfb"
17,"2016-05-12 19:26:02","2016-05-12 18:45:00",-1,"Little stress situation some tables which should be loaded are missing. Trying to call colleague but he doesn't respond. #n #xfb"
18,"2016-05-12 20:38:50","2016-05-12 20:15:00",1,"Eating pizza and watching various TV shows at @streamCZ. And finally relaxing with my wife in the bed after really long day. #p #xfb"
19,"2016-05-12 21:01:57","2016-05-12 21:00:00",1,"Watching another episode how to get away with murder. Eating strawberries, peaches, apricots and resting. #p #xfb"
20,"2016-05-12 21:41:35","2016-05-12 21:00:00",1,"Kids are in their beds and we are continuing to watch TV show. They want us to sleep with them which is sweet. #p #xfb"
21,"2016-05-12 22:20:22","2016-05-12 21:45:00",1,"Watching the third TV show and have taste for something, something good. So Iva went for something and brought kitkat and watermelon #p #xfb"
22,"2016-05-12 23:31:58","2016-05-12 23:15:00",1,"Just checked load and because of missing tables in source it crashed. Colleague created ticked about it and we can go sleep. #p #xfb"
23,"2016-05-13 00:02:20","2016-05-12 23:59:59",1,"Playing logical game with name rop and slowly preparing for sleeping. Tomorrow is last though day of the week and then 3 days off #p #xfb"
1,"2016-05-13 07:44:46","2016-05-13 07:30:00",1,"Beautiful morning when my daughter came to our bed to woke us up gently. And it's just today and then three days off. #p #xfb"
2,"2016-05-13 08:15:09","2016-05-13 08:15:00",-1,"This morning train which always go few minutes before mine and goes through the station without any speed decrease is terrible. #n #xfb"
3,"2016-05-13 09:02:32","2016-05-13 09:00:00",1,"Standing on standup meeting and listening to status of work from my colleagues. Meanwhile I am preparing for what I will do today. #p #xfb"
4,"2016-05-13 10:07:33","2016-05-13 09:45:00",-1,"It's becoming funnier and funnier here. Another team have poor performance on their scripts, but complain about database feature. #n #xfb"
5,"2016-05-13 10:30:50","2016-05-13 10:30:00",-1,"Project organization becoming more and more chaos since we are closer to go live. We need to keep it organized at inside team. #n #xfb"
6,"2016-05-13 11:16:57","2016-05-13 11:15:00",1,"I have been successful with problem solution, so I just need to test it on several small and big cases before I can release it. #p #xfb"
7,"2016-05-13 12:03:42","2016-05-13 12:00:00",1,"I have really good lunch crispy duck with gnocchi and wine source. And as a desert watermelon and strawberries. #p #xfb"
8,"2016-05-13 13:01:04","2016-05-13 12:45:00",1,"Discussion after lunch about political incorrect topics related to project without any members from other teams we call blackops. #p #xfb"
9,"2016-05-13 13:28:30","2016-05-13 12:45:00",1,"System is slow because is really occupied by many tests and runs. So, I need to do several things in parallel to stay busy. #p #xfb"
10,"2016-05-13 15:02:29","2016-05-13 15:00:00",1,"Solved critical point with missing space in database that was the reason of failed load. So, we can continue with load. #p #xfb"
11,"2016-05-13 15:30:17","2016-05-13 15:00:00",-1,"Tried to continue of massive delta load test with colleague, it's not possible because latest deployment package is not deployed yet #n #xfb"
12,"2016-05-13 15:48:04","2016-05-13 15:45:00",-1,"After last hour of hurry is situation in open space calming down and we are on the track again. This chaos is really exhausting me. #n #xfb"
13,"2016-05-13 16:34:12","2016-05-13 16:30:00",1,"I had really interesting discussion about nice core database automatic deployment and currently I can return to my original work. #p #xfb"
14,"2016-05-13 17:21:55","2016-05-13 17:15:00",1,"Listen 7 Years song from @LukasGraham on YouTube and slowly closing work to be able go home. I would need to just check the load. #p #xfb"
15,"2016-05-13 18:04:16","2016-05-13 18:00:00",1,"Finally waiting for the train and looking forward to have some good dinner and watch some good movie together with my wife. #p #xfb"
16,"2016-05-13 18:46:55","2016-05-13 18:45:00",1,"I am at home, sitting on the couch and relax with rop game. I am challenged by little bit difficult round, but whatever. #p #xfb"
17,"2016-05-13 20:15:18","2016-05-13 20:15:00",1,"I had several toasts for dinner with really good dressing and then I did research about sources for sentiment unsupervised learning. #p #xfb"
18,"2016-05-13 20:17:00","2016-05-13 20:15:00",1,"Currently I am searching for some move for Friday night. Meanwhile my wife went to laundry room to pickup the laundry. #p #xfb"
19,"2016-05-13 21:05:45","2016-05-13 21:00:00",-1,"Keep the tweeting time schedule is really hard. So, sometimes the second alarm makes me realize that I forgot to write previous one. #n #xfb"
20,"2016-05-13 21:47:02","2016-05-13 21:45:00",1,"Watching nice movie Brooklyn with my wife. And relaxing in the bed. After movie I need to check load if still running ok. #p #xfb"
21,"2016-05-13 22:33:53","2016-05-13 22:30:00",1,"After we returned from laundry room and we watching excellent movie Brooklyn. Despite almost no story it's wonderfully shot. #p #xfb"
22,"2016-05-13 23:16:57","2016-05-13 23:15:00",1,"Raspberries with white yogurt and hint of  sugar is really tasty late dinner especially in combination of such movie as Brooklyn #p #xfb"
23,"2016-05-14 00:10:01","2016-05-13 23:59:59",1,"Watching The Big Bang Theory for the good night, after good movie little bit fun. Then I will continue work on @fitbit data. #p #xfb"
1,"2016-05-14 09:07:27","2016-05-14 09:00:00",-1,"Morning is better than night. Daughter doesn't feel well so we need to take care about her and we went sleep at four in the morning #n #xfb"
2,"2016-05-14 09:51:52","2016-05-14 09:45:00",1,"I need to sleep at least one hour more, because of the occasion in the night. So far kids sleep as well so it's perfect. #p #xfb"
3,"2016-05-14 10:34:56","2016-05-14 10:30:00",1,"Filip woke up already and brought the big box of Lego with him to living room and since then he plays, he said he is not hungry #p #xfb"
4,"2016-05-14 11:14:54","2016-05-14 10:30:00",1,"Chocolate Brioche and then yogurt with banana and raspberries is tasty breakfast for today. After we need to go grocery shopping #p #xfb"
5,"2016-05-14 12:03:09","2016-05-14 12:00:00",1,"Noon shower is really good idea it woke me up completely and recharged me by new energy. I am feeling like newborn. #p #xfb"
6,"2016-05-14 12:48:05","2016-05-14 12:45:00",1,"Meanwhile the @fitbit was charging we were watching with kids dancing #stormtrooper group on @YouTube who are really amazing. #p #xfb"
7,"2016-05-14 13:38:13","2016-05-14 13:30:00",-1,"Find a place to park a car in the shopping center when is raining is not task for human. Especially in here in Switzerland. #n #xfb"
8,"2016-05-14 14:18:30","2016-05-14 14:15:00",1,"Waiting in the line for taking foto with bear. After we passed the eye test in optic shop. What a wonderful day with family. #p #xfb"
9,"2016-05-14 15:06:03","2016-05-14 15:00:00",1,"Testing perfumes in Douglas we need to renew our collections at home People in the office can expect perfumed man on Tuesday morning #p #xfb"
10,"2016-05-14 15:58:44","2016-05-14 15:45:00",-1,"Paying the grocery and finally going home from the overcrowded shopping mall. I am starting to have headache from the noise. #n #xfb"
11,"2016-05-14 16:32:00","2016-05-14 16:30:00",1,"I just finished the storage of grocery into kitchen and I need to eat something and then we can prepare late lunch or early dinner. #p #xfb"
12,"2016-05-14 17:20:45","2016-05-14 17:15:00",1,"Pork meat si prepared and sliced and part of the potatoes as well, we need more so I am going to pick some in basement. #p #xfb"
13,"2016-05-14 17:58:19","2016-05-14 17:15:00",1,"Dinner cooks and we are relaxing by watching Charlie Chocolate Factory movie. Really magnificent one which kids loves. #p #xfb"
14,"2016-05-14 18:47:16","2016-05-14 18:45:00",1,"Dinner is almost ready and soon the movie ends as well, so we could go eat. And I am little bit tired because I haven't slept much. #p #xfb"
15,"2016-05-14 19:44:57","2016-05-14 19:30:00",1,"Dinner was excellent. We are going to pick up laundry and then relax with movie Bridge of Spies into bed. Kids watch Inside Out. #p #xfb"
16,"2016-05-14 20:17:16","2016-05-14 20:15:00",1,"After first twenty minutes the story starts to be more interesting. Kids are noisy a bit and my wife is sleeping. #p #xfb"
17,"2016-05-14 21:01:40","2016-05-14 21:00:00",1,"Chatting with father in law about possible Skype call between grandmother and kids and planning it for tomorrow or Monday. #p #xfb"
18,"2016-05-14 21:46:44","2016-05-14 21:45:00",1,"Eating leftovers from dinner and taking the kids to beds. I will sing them song for good night and let them sleep. #p #xfb"
19,"2016-05-14 22:31:32","2016-05-14 22:30:00",1,"Movie went into most interesting phase. Maya came to our bet to calm before she will go sleep. And we are relaxing. #p #xfb"
20,"2016-05-14 23:14:46","2016-05-14 22:30:00",1,"We took Maya back to her bed and found something good for eating, delicious chocolate bar. And we come back to watch the movie. #p #xfb"
21,"2016-05-15 00:34:32","2016-05-14 23:59:59",1,"I wrote email to bank about ownership of our property and currently return to work on getting data from @fitbit API. #p #xfb"
1,"2016-05-15 09:23:08","2016-05-15 09:00:00",-1,"Maya came to woke me up with words: daddy woke up it's morning already. But I don't want to come out from warm bed. It's too early. #n #xfb"
2,"2016-05-15 10:02:09","2016-05-15 09:45:00",1,"I have prepared breakfast for Maya she wanted cereals with milk. I am slowly weaking up. Seems to be that today is not raining. #p #xfb"
3,"2016-05-15 10:31:35","2016-05-15 10:30:00",1,"My wife made for me really good breakfast for me. And right now she is making a fun from me about tweeting so much. #p #xfb"
4,"2016-05-15 11:22:51","2016-05-15 11:15:00",-1,"Cleaning up the apartment and sorting out the things. My wife is running around clean and order and yelling on all of us. #n #xfb"
5,"2016-05-15 12:31:56","2016-05-15 12:00:00",-1,"I am vacuum cleaning the bedroom and sort out the papers. I don't like it, but it was necessary due to lot of dust around. #n #xfb"
6,"2016-05-15 12:50:50","2016-05-15 12:45:00",1,"We are preparing lunch. We need to go with Maya to balcony cut rosemarine, she likes to help Iva searches for kitchen tools for kids #p #xfb"
7,"2016-05-15 13:32:08","2016-05-15 13:30:00",1,"Chicken legs on garlic and rosemarine are in owen and I can mount the magnet on doors for garbage bin. And then I can rest. #p #xfb"
8,"2016-05-15 14:21:43","2016-05-15 14:15:00",1,"Magnet on the doors to garbage done. And chicken pieces are baking. Iva is going to prepare rice and I can finally relax. #p #xfb"
9,"2016-05-15 15:19:57","2016-05-15 15:00:00",1,"Filip sitting on my lap and feed me his chocolate chips cookie. What a pleasure afternoon. We will go walk to forrest. #p #xfb"
10,"2016-05-15 16:08:23","2016-05-15 15:45:00",1,"We are looking at the old photos because Maya wanted to see her self small and remember to the old times. She is amazed. #p #xfb"
11,"2016-05-15 16:32:51","2016-05-15 16:30:00",1,"Ready to go out to forrest. Kids are playing with tennis ball which I have found in my bedside table hidden from them. #p #xfb"
12,"2016-05-15 17:19:18","2016-05-15 17:15:00",1,"Finally out. Kids are singing two different songs and I am singing third one it's perfect disharmony, but we have lot of fun. #p #xfb"
13,"2016-05-15 17:56:42","2016-05-15 17:15:00",1,"We found in the forest two in love snails. Kids are amazed. And we all are enjoying the fresh air and silence around us. #p #xfb"
14,"2016-05-15 19:34:57","2016-05-15 19:30:00",1,"Just right now talking over Skype with my parents. Kids stayed just for fits few minutes and then disappeared to play along. #p #xfb"
15,"2016-05-15 20:16:35","2016-05-15 20:15:00",1,"Family is currently calling with mother and father in law and I am cleaning computer from personal stuff because I will get new soon #p #xfb"
16,"2016-05-15 21:36:21","2016-05-15 21:00:00",1,"Having a dinner a tousts and kids are watching story tale Planes 2. Then we go to bed watch some series or movie as well. #p #xfb"
17,"2016-05-15 21:48:15","2016-05-15 21:45:00",1,"We have 2 Broke Girls and Arrow for watching so relax can start. With also two toasts with apricot marmalade. Good evening. #p #xfb"
18,"2016-05-15 22:42:53","2016-05-15 22:30:00",1,"Watching Iva how she is playing game INKS and download several episodes of previous mentioned series. Kids are movie ends soon. #p #xfb"
19,"2016-05-15 23:16:38","2016-05-15 23:15:00",1,"Relaxing and thinking about what to do after the shows ends. If to follow up with @fitbit API or to work about the 100 jobs load. #p #xfb"
20,"2016-05-16 00:04:31","2016-05-15 23:59:59",1,"Still relaxing with the movie. It's really exciting, but it is end of the episode unfortunately it's not the end of the story #p #xfb"
1,"2016-05-16 09:24:50","2016-05-16 09:00:00",-1,"@fitbit was trying to wake me up for fourty minutes even though I woke up already and tried to convince it I am awake. #n #xfb"
2,"2016-05-16 09:47:51","2016-05-16 09:45:00",1,"I will sleep at least till next alarm clock. Today is bank holiday so, no rush no hurry. We will play with @Mindstorms_EV3. #p #xfb"
3,"2016-05-16 10:32:44","2016-05-16 10:30:00",1,"Finally I am leaving the bed. It was terrible morning but I hope it will be nice day. Despite the weather outside is rainy. #p #xfb"
4,"2016-05-16 11:28:56","2016-05-16 11:15:00",1,"@fitbit thank you, finally I know how to kill the alarm. It will not disturb me any more in the morning. #p #xfb"
5,"2016-05-16 12:13:25","2016-05-16 12:00:00",1,"It's holiday and everything is closed so we went to Coop Pronto on the gas station to buy toast bread and then walk through village #p #xfb"
6,"2016-05-16 12:46:27","2016-05-16 12:45:00",1,"And we are back at home. I am looking for ebook for Maya who want to learn read and then I will grill spareribs for lunch. #p #xfb"
7,"2016-05-16 13:36:00","2016-05-16 13:30:00",1,"Maya starts slowly to learn reading. She found out that's not easy and she won't learn read during one day. So, we can expect fight #p #xfb"
8,"2016-05-16 14:18:35","2016-05-16 14:15:00",1,"Meat is prepared so I can fill in grill with coal and light it up and then the real fun starts. I am interested about the spareribs. #p #xfb"
9,"2016-05-16 15:05:15","2016-05-16 15:00:00",1,"Sun is shining and I am on the balcony with beacon spareribs and chicken on the grill. Family cannot wait for it how hungry they are #p #xfb"
10,"2016-05-16 16:03:24","2016-05-16 15:45:00",1,"Spareribs were not finished so I put it into owen and finish it when we are back from hiking through forest where we are going now. #p #xfb"
11,"2016-05-16 16:52:05","2016-05-16 16:30:00",1,"We are in the forest and beautifully raining. We are going forward and enjoying the beauty of the nature, except the kids. #p #xfb"
12,"2016-05-16 17:17:07","2016-05-16 17:15:00",1,"We are out of the forest in the grill place where are still firing embers in the fireplace. It's pleasant warm for our hands. #p #xfb"
13,"2016-05-16 18:20:14","2016-05-16 18:00:00",-1,"Kids don't want to take down the clothes and go to shower it's typical for every day agenda, but finally they are in the shower. #n #xfb"
14,"2016-05-16 19:13:42","2016-05-16 18:45:00",1,"I have finished the spareribs baked in the owen, we have watched x factor gold buzzers and emotional moments. #p #xfb"
15,"2016-05-16 19:51:46","2016-05-16 19:30:00",1,"Watching another episode Game of Thrones together with my wife, eating strawberries with hint of sugar. What a excellent evening. #p #xfb"
16,"2016-05-16 20:16:54","2016-05-16 20:15:00",-1,"So far a current episode is not such dark as some previous ones, but I am expecting more blood and violence soon as usual. #n #xfb"
17,"2016-05-16 21:03:09","2016-05-16 21:00:00",1,"My wife has come with idea to follow the latest #luxusnataliri on @streamCZ, because she got a taste for the desert, so we made it #p #xfb"
18,"2016-05-16 21:55:15","2016-05-16 21:45:00",1,"After spareribs for dinner, then strawberries with hint of sugar and finally for late dinner Czech dessert from apples and brioche #p #xfb"
19,"2016-05-16 22:33:39","2016-05-16 22:30:00",1,"After another good episode of Game of Thrones we are watching How to get away with murder great TV show which is heading to the end. #p #xfb"
20,"2016-05-16 23:23:15","2016-05-16 23:15:00",1,"We won at #Ricardo table which satisfies my wife and I hope it's heavier than current one which is moving whenever somebody touch it #p #xfb"
21,"2016-05-17 00:01:51","2016-05-16 23:59:59",1,"And this is the last tweet for today. And not because my wife start to following me on Twitter, but because it's midnight. #p #xfb"
1,"2016-05-17 07:58:07","2016-05-17 07:30:00",-1,"Today was really bad woke up after not complete five hours of sleep I woke up in hurry situation where we need to go to municipality #n #xfb"
2,"2016-05-17 08:18:42","2016-05-17 08:15:00",-1,"The fact that I have to gave away my driving license to exchange it for the Swiss one is driving me crazy. Now I have just paper #n #xfb"
3,"2016-05-17 09:18:03","2016-05-17 09:00:00",1,"After daily status I am listening the webex meeting about Running Hadoop proof of concept. I am really interested what is this about #p #xfb"
4,"2016-05-17 09:47:08","2016-05-17 09:45:00",1,"Continue listening webex meeting and meanwhile solving the problems connect to my daily agenda and long term tasks. #p #xfb"
5,"2016-05-17 10:46:14","2016-05-17 10:30:00",1,"Discussion of testing went to good direction. We matched most of the errors with logged details just few of them are missing. #p #xfb"
6,"2016-05-17 11:34:26","2016-05-17 11:15:00",1,"Discussion of source metadata capturing with colleague is really thrill. But it ended with mutual consumption, so good day today. #p #xfb"
7,"2016-05-17 12:09:39","2016-05-17 12:00:00",1,"Having a grilled chicken for lunch with my team leader and chief architect. And also blueberry muffin as desert afterwards. #p #xfb"
8,"2016-05-17 12:47:00","2016-05-17 12:45:00",1,"Returned back from lunch and terrace coffee with colleagues. We had a really good discussion about how to good developers no need QA #p #xfb"
9,"2016-05-17 13:31:58","2016-05-17 13:30:00",1,"Preparing of the tests objects for load test and listening various Czech artists. It's really calm down day no chaos no hurry. #p #xfb"
10,"2016-05-17 14:15:42","2016-05-17 14:15:00",-1,"I found error during generation of objects for testing. One of the objects wasn't generated at all. So, issuing ticket for fixing. #n #xfb"
11,"2016-05-17 15:10:21","2016-05-17 15:00:00",1,"Had small talk about colleague who worked over weekend and came by Tesla S to work. Maybe some day I will buy one as well. #p #xfb"
12,"2016-05-17 15:49:07","2016-05-17 15:45:00",-1,"Found rejected expenses for no reason, told to project manager and he asked me to resubmit it, weird. Anyway system is rejecting me. #n #xfb"
13,"2016-05-17 16:34:28","2016-05-17 16:30:00",-1,"Switch to test another functionality which I have developed and currently not finished part I switched off to be finished next time #n #xfb"
14,"2016-05-17 17:19:30","2016-05-17 17:15:00",-1,"In hurry to finish test as soon as I can and family can pick me up from the work. I still have 40 minutes to do that. #n #xfb"
15,"2016-05-17 17:58:37","2016-05-17 17:15:00",-1,"Test load screwed up, so I am investing it on detail level. Data seems to be messed up in the source, so most likely not on my side. #n #xfb"
16,"2016-05-17 19:00:12","2016-05-17 18:45:00",1,"Everything fixed, retested and functional. Also exported and committed for deployment, so I can finally go home and relax today. #p #xfb"
17,"2016-05-17 19:39:43","2016-05-17 19:30:00",1,"I am at home, family picked me up at train station. And showered the kids and I am going to eat something for dinner. #p #xfb"
18,"2016-05-17 20:23:07","2016-05-17 20:15:00",1,"Kids are watching the story tale and every preparations for tomorrow are done. So, I can download something for us. #p #xfb"
19,"2016-05-17 21:12:03","2016-05-17 21:00:00",1,"Watching stupid girls in the new episode of Darwin prices at @streamCZ and eating strawberries and finally relaxing. #p #xfb"
20,"2016-05-17 21:44:35","2016-05-17 21:00:00",1,"Watching How to get away with murder and meanwhile Filip cannot sleep so he visits us and telling us the story about skeletons #p #xfb"
21,"2016-05-17 22:32:43","2016-05-17 22:30:00",1,"Watching @TheSimpsons in Paris, magnificent episode I need to say. My wife already sleeps because she had rough day today. #p #xfb"
